"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 21 20:19:09 GMT 2025","Wed May 21 20:19:10 GMT 2025","362","","WebFormPageTest","","WebFormPageTest","checkedCheckBoxTest","checkedCheckBoxTest()",""
"passed","Wed May 21 20:18:59 GMT 2025","Wed May 21 20:19:02 GMT 2025","3248","","WebFormPageTest","","WebFormPageTest","textAreaTest","textAreaTest()",""
"broken","Wed May 21 20:19:07 GMT 2025","Wed May 21 20:19:07 GMT 2025","342","","WebFormPageTest","","WebFormPageTest","readOnlyInputTest","readOnlyInputTest()",""
"passed","Wed May 21 20:19:04 GMT 2025","Wed May 21 20:19:04 GMT 2025","927","","WebFormPageTest","","WebFormPageTest","exampleRageTest","exampleRageTest()",""
"passed","Wed May 21 20:19:10 GMT 2025","Wed May 21 20:19:10 GMT 2025","191","","WebFormPageTest","","WebFormPageTest","openWebFormPagePageTest","openWebFormPagePageTest()",""
"failed","Wed May 21 20:19:07 GMT 2025","Wed May 21 20:19:07 GMT 2025","298","","WebFormPageTest","","WebFormPageTest","colorPickerTest","colorPickerTest()",""
"broken","Wed May 21 20:19:04 GMT 2025","Wed May 21 20:19:05 GMT 2025","443","","WebFormPageTest","","WebFormPageTest","dataListDropdownTest","dataListDropdownTest()",""
"passed","Wed May 21 20:19:02 GMT 2025","Wed May 21 20:19:02 GMT 2025","338","","WebFormPageTest","","WebFormPageTest","disabledInputTest","disabledInputTest()",""
"failed","Wed May 21 20:19:08 GMT 2025","Wed May 21 20:19:08 GMT 2025","436","","WebFormPageTest","","WebFormPageTest","returnToHomePageTest","returnToHomePageTest()",""
"failed","Wed May 21 20:19:02 GMT 2025","Wed May 21 20:19:03 GMT 2025","568","","WebFormPageTest","","WebFormPageTest","uncheckedCheckBoxTest","uncheckedCheckBoxTest()",""
"passed","Wed May 21 20:19:03 GMT 2025","Wed May 21 20:19:04 GMT 2025","572","","WebFormPageTest","","WebFormPageTest","selectDropdownTest","selectDropdownTest()",""
"failed","Wed May 21 20:19:07 GMT 2025","Wed May 21 20:19:08 GMT 2025","263","","WebFormPageTest","","WebFormPageTest","fileInputTest","fileInputTest()",""
"passed","Wed May 21 20:19:05 GMT 2025","Wed May 21 20:19:06 GMT 2025","1311","","WebFormPageTest","","WebFormPageTest","inputTextTest","inputTextTest()",""
"failed","Wed May 21 20:19:06 GMT 2025","Wed May 21 20:19:07 GMT 2025","400","","WebFormPageTest","","WebFormPageTest","radioButtonTest","radioButtonTest()",""
"passed","Wed May 21 20:19:08 GMT 2025","Wed May 21 20:19:09 GMT 2025","1291","","WebFormPageTest","","WebFormPageTest","passwordFieldTest","passwordFieldTest()",""
